21:16:34.826 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.827 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.828 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.829 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.830 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.831 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.832 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.833 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.834 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.836 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.836 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.837 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.838 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.839 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.840 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.841 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.842 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.843 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.844 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.845 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.846 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.847 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.848 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.849 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.850 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.851 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.852 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.853 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.854 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.855 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.856 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.857 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.858 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.859 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.860 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.861 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.862 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.863 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.864 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.865 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.866 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.867 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.868 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.869 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.870 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.872 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.872 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.873 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.874 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.875 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.876 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.877 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.878 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.879 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.880 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.881 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.882 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.883 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.885 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.890 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.891 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.892 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.893 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.894 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.895 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.896 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.897 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.898 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.899 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.900 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.901 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.902 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.903 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.904 [INFO] RawMouse: DeltaX=-1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.905 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.906 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.907 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.908 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.909 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.910 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.911 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.912 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.913 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.914 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.915 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.916 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.917 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.918 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.919 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.920 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.921 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.922 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.924 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.924 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.925 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.926 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.927 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.928 [INFO] RawMouse: DeltaX=0, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
21:16:34.929 [INFO] RawMouse: DeltaX=1, DeltaY=0, Wheel=0, Buttons=None, PrevButtons=None
