path,loc,namespaces,classes,structs,interfaces,enums,methods,properties,dllimports,unsafe,nullability_suppressed,lock_this,empty_catch,thread_sleep_calls,doevents_calls,env_exit_calls,gc_collect_calls,async_void,datetime_now,submit_calls,risk,summary,improvements
ControllerKeyMapManager.cs,167,WootMouseRemap,1,0,0,2,9,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 2 enum(s). Methods: 9, Properties: 0.",ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
Enums.cs,27,WootMouseRemap,0,0,0,5,0,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Methods: 0, Properties: 0.",ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
HotkeyService.cs,135,WootMouseRemap.Core,1,0,0,0,9,0,1,False,False,False,False,False,False,False,False,False,False,0,3,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 9, Properties: 0. P/Invoke: 1 import(s).","DllImport: add SetLastError=true where appropriate and check Marshal.GetLastWin32Error(). DllImport: specify CharSet (e.g., CharSet.Unicode) to avoid ANSI/Unicode mismatches."
InputEventHub.cs,75,WootMouseRemap.Core,1,0,0,0,4,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 4, Properties: 0.",
OverlayForm.cs,923,WootMouseRemap,1,0,0,0,35,0,0,False,True,False,False,False,False,True,False,False,True,0,3,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 35, Properties: 0. Nullability suppressed pragmas present.",Nullability warnings suppressed: remove suppression and fix annotations to prevent NREs. Avoid Environment.Exit in libraries; propagate errors instead. Prefer DateTime.UtcNow for timestamps; use time providers for testability. ViGEm updates without Submit/SubmitReport detected: ensure each update tick submits to the virtual device.
Program.cs,57,WootMouseRemap,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 0, Properties: 0.",Prefer DateTime.UtcNow for timestamps; use time providers for testability.
XInputStatePoller.cs,51,WootMouseRemap.Core,1,0,0,0,3,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 3, Properties: 0.",
Calibration/AutoTuner.cs,103,WootMouseRemap,1,0,0,0,3,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 3, Properties: 0.",
Calibration/FigureEightDriver.cs,16,WootMouseRemap,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 0, Properties: 0.",
Controllers/ControllerManager.cs,28,WootMouseRemap.Controllers,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,0,1,"Types: 1 class(es), 0 struct(s), 0 interface(s), 0 enum(s). Methods: 0, Properties: 0.",
